bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against
4c5d73db,CR Woakes,-27.6354,-0.0597,463,29.0689
531f0278,K Santokie,-27.6363,-0.5419,51,24.6475
50758325,B Geeves,-27.7554,-0.5664,49,26.2442
a4e37e47,S Dube,-27.8322,-0.2141,130,16.3948
8a668774,Shoaib Ahmed,-27.951,-0.2714,103,16.3808
32198ae0,MC Henriques,-28.156,-0.0288,979,-32.2623
9d80c5e1,S Nadeem,-28.333,-0.0196,1444,-171.3669
c18496e1,Bipul Sharma,-28.7984,-0.0661,436,-27.727
725529bc,SC Ganguly,-28.9593,-0.1034,280,9.8782
c64c2443,J Syed Mohammad,-29.1747,-0.1489,196,4.6191
83c3e8e3,SH Johnson,-29.4455,-0.1712,172,43.6603
